Time,Record,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Smp,,,
5/28/2016 20:00,56,24.12499,25.35001,35.77166,13.64,10.62834,10.29999,13.1347,,,
5/28/2016 21:00,57,24.17166,25.39667,35.75336,13.33333,10.70001,10.29999,13.06419,,,
5/28/2016 22:00,58,24.15666,25.35336,35.80002,12.78,10.75333,10.29999,13.00543,,,
5/28/2016 23:00,59,24.19666,25.37502,35.80335,12.18,10.82833,10.29999,12.95338,,,
5/29/2016 0:00,60,24.12166,25.37502,35.82169,11.58334,10.9,10.29999,12.91141,,,
5/29/2016 1:00,61,24.15666,25.35001,35.80002,11.13667,10.9,10.29999,12.87867,,,
5/29/2016 2:00,62,24.14999,25.32167,35.80002,10.65834,10.9,10.29999,12.84761,,,
5/29/2016 3:00,63,24.19999,25.35336,35.79999,10.28667,10.9,10.29999,12.82159,,,
5/29/2016 4:00,64,24.14332,25.32168,35.74998,9.889995,10.9,10.30333,12.79221,,,
5/29/2016 5:00,65,24.13165,25.35001,35.77502,9.540003,10.9,10.375,12.76954,,,
5/29/2016 6:00,66,24.12166,25.375,35.80334,9.240004,10.87166,10.4,12.75359,,,
5/29/2016 7:00,67,24.07166,25.33167,35.82169,8.964996,10.79999,10.4,12.79053,,,
5/29/2016 8:00,68,24.12499,25.37501,35.77502,8.775001,10.72167,10.4,12.86944,,,
5/29/2016 9:00,69,24.02499,25.39668,35.82169,8.856665,10.69667,10.4,13.34624,,,
5/29/2016 10:00,70,24.00333,25.37501,35.75,9.244995,10.6,10.4,13.47299,,,
5/29/2016 11:00,71,24.09668,25.35001,35.75333,9.954998,10.57167,10.4,13.42682,,,
5/29/2016 12:00,72,23.91835,25.39668,35.74998,10.72,10.5,10.4,13.39996,,,
5/29/2016 13:00,73,23.85001,25.30001,35.79668,11.35166,10.44667,10.4,13.35967,,,
5/29/2016 14:00,74,23.66499,25.325,35.72834,12.27999,10.4,10.4,13.3496,,,
5/29/2016 15:00,75,23.52167,25.32835,35.775,13.15168,10.4,10.4,13.33449,,,
5/29/2016 16:00,76,23.32167,25.34668,35.74664,13.84167,10.4,10.37166,13.31098,,,
5/29/2016 17:00,77,23.24332,25.32835,35.72831,14.09999,10.42833,10.32499,13.30511,,,
5/29/2016 18:00,78,23.01834,25.37501,35.72498,14.07167,10.5,10.29999,13.34456,,,
5/29/2016 19:00,79,22.86835,25.35001,35.75,13.89333,10.52833,10.29999,13.33616,,,
5/29/2016 20:00,80,22.74665,25.37169,35.77165,13.715,10.6,10.29999,13.11959,,,
5/29/2016 21:00,81,22.72834,25.35002,35.75333,13.33667,10.67834,10.29999,13.03397,,,
5/29/2016 22:00,82,22.69999,25.33168,35.72164,13.01501,10.72833,10.29999,12.99032,,,
5/29/2016 23:00,83,22.67833,25.42168,35.69998,12.69333,10.80333,10.29999,12.96261,,,
5/30/2016 0:00,84,22.72834,25.35001,35.725,12.49334,10.9,10.29999,12.92988,,,
5/30/2016 1:00,85,22.85,25.34666,35.75,12.29333,10.9,10.29999,12.91309,,,
5/30/2016 2:00,86,22.92834,25.37502,35.72834,12.11833,10.92833,10.29999,12.87531,,,
5/30/2016 3:00,87,23.10331,25.22831,35.74667,11.94334,11,10.35334,12.85601,,,
5/30/2016 4:00,88,23.12832,25.35001,35.69665,11.69,11,10.4,12.82914,,,
5/30/2016 5:00,89,23.19999,25.34668,35.68165,11.34,11,10.4,12.81152,,,
5/30/2016 6:00,90,23.17834,25.35334,35.74667,11.065,11,10.4,12.79641,,,
5/30/2016 7:00,91,23.21833,25.34335,35.75,10.81833,11,10.4,12.82159,,,
5/30/2016 8:00,92,23.14999,25.28168,35.69998,10.62167,11,10.4,12.85265,,,
5/30/2016 9:00,93,23.07833,25.40001,35.72498,10.63167,11,10.4,13.33616,,,
5/30/2016 10:00,94,23.14333,25.37168,35.70332,10.96333,10.97167,10.4,13.40584,,,
5/30/2016 11:00,95,22.97501,25.29335,35.71832,11.52666,10.9,10.4,13.3731,,,
5/30/2016 12:00,96,22.86501,25.30669,35.68165,12.38334,10.9,10.4,13.35883,,,
5/30/2016 13:00,97,22.64666,25.27834,35.775,13.34833,10.9,10.45,13.35547,,,
5/30/2016 14:00,98,22.51501,25.34,35.71832,14.02999,10.9,10.47833,13.34036,,,
5/30/2016 15:00,99,22.21833,25.285,35.65332,14.86666,10.9,10.47167,13.33868,,,
5/30/2016 16:00,100,22.07167,25.34668,35.64997,15.26334,10.9,10.45333,13.32777,,,
5/30/2016 17:00,101,21.86835,25.27502,35.725,15.5,10.97833,10.5,13.32525,,,
5/30/2016 18:00,102,21.69,25.32502,35.67165,15.41833,11.00333,10.5,13.33533,,,
5/30/2016 19:00,103,21.4,25.30001,35.65332,15.19333,11.1,10.5,13.36135,,,
5/30/2016 20:00,104,21.29334,25.30001,35.64997,14.93667,11.17834,10.5,13.13974,,,
5/30/2016 21:00,105,21.19999,25.25002,35.67498,14.45833,11.25333,10.5,13.0474,,,
5/30/2016 22:00,106,21.27499,25.30001,35.64999,13.95167,11.30333,10.5,12.98444,,,
5/30/2016 23:00,107,21.3,25.24999,35.67165,13.25167,11.4,10.5,12.9282,,,
5/31/2016 0:00,108,21.3,25.29999,35.67501,12.60834,11.40334,10.5,12.8879,,,
5/31/2016 1:00,109,21.25001,25.30001,35.67498,12.05501,11.5,10.5,12.85769,,,
5/31/2016 2:00,110,21.27501,25.32502,35.70331,11.53667,11.5,10.55333,12.82411,,,
5/31/2016 3:00,111,21.3,25.22499,35.67498,11.10834,11.5,10.6,12.79221,,,
5/31/2016 4:00,112,21.35333,25.32502,35.67497,10.63667,11.5,10.6,12.77038,,,
5/31/2016 5:00,113,21.49667,25.34334,35.69998,10.23667,11.44667,10.6,12.75108,,,
5/31/2016 6:00,114,21.27834,25.17834,35.64999,9.914996,11.4,10.6,12.74016,,,
5/31/2016 7:00,115,21.35334,25.20333,35.67498,9.615003,11.34666,10.6,12.77122,,,
5/31/2016 8:00,116,21.415,25.30334,35.64666,9.37166,11.29666,10.60333,12.83838,,,
5/31/2016 9:00,117,21.285,25.26834,35.62832,9.356666,11.20001,10.67501,13.40836,,,
5/31/2016 10:00,118,21.39,25.25335,35.64997,9.719999,11.14666,10.70001,13.45704,,,
5/31/2016 11:00,119,21.03667,25.30001,35.67498,10.35166,11.07167,10.70001,13.40584,,,
5/31/2016 12:00,120,20.90001,25.29667,35.64665,11.33667,11,10.70001,13.3773,,,
5/31/2016 13:00,121,20.63999,25.27835,35.64999,12.43333,10.94667,10.70001,13.36555,,,
5/31/2016 14:00,122,20.42168,25.30001,35.64999,13.27333,10.9,10.67167,13.37226,,,
5/31/2016 15:00,123,20.32167,25.30001,35.59999,13.86667,10.9,10.625,13.35631,,,
5/31/2016 16:00,124,20.07166,25.27502,35.59999,14.36333,10.9,10.6,13.32022,,,
5/31/2016 17:00,125,20.04333,25.27501,35.62498,14.67834,10.9,10.6,13.30762,,,
5/31/2016 18:00,126,20,25.30001,35.54667,14.59333,10.95333,10.6,13.32189,,,
5/31/2016 19:00,127,19.94667,25.29667,35.55333,14.41834,11,10.6,13.32105,,,
5/31/2016 20:00,128,19.92501,25.25332,35.59999,14.24334,11.07833,10.6,13.15988,,,
5/31/2016 21:00,129,19.92834,25.24999,35.59999,14.01501,11.12834,10.6,13.06167,,,
5/31/2016 22:00,130,19.975,25.30001,35.59999,13.60834,11.20001,10.6,12.99787,,,
5/31/2016 23:00,131,19.92501,25.25002,35.59999,13.03,11.27833,10.6,12.94499,,,
6/1/2016 0:00,132,19.90001,25.30001,35.55,12.455,11.29999,10.6,12.90805,,,
