Time,Record,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Smp,,
5/27/2016 23:00,56,24.14333,28.40334,36.30336,11.83666,10.92833,10.5,12.96681,,
5/28/2016 0:00,57,24.12832,28.42501,36.35003,11.36167,11,10.5,12.94163,,
5/28/2016 1:00,58,24.15332,28.375,36.32501,11.065,11,10.5,12.91309,,
5/28/2016 2:00,59,24.19999,28.40001,36.35002,10.86833,11,10.5,12.89378,,
5/28/2016 3:00,60,24.22168,28.42501,36.32836,10.69667,11,10.5,12.86608,,
5/28/2016 4:00,61,24.10333,28.42501,36.34668,10.54333,11,10.5,12.83754,,
5/28/2016 5:00,62,24.22502,28.40001,36.32501,10.315,11,10.5,12.80816,,
5/28/2016 6:00,63,24.14666,28.34669,36.32502,9.939996,10.92167,10.5,12.79641,,
5/28/2016 7:00,64,24.17833,28.40001,36.32501,9.665,10.9,10.5,12.80984,,
5/28/2016 8:00,65,24.19999,28.35001,36.35001,9.446667,10.89667,10.5,13.1028,,
5/28/2016 9:00,66,24.19999,28.32501,36.35335,9.403331,10.79999,10.5,13.59471,,
5/28/2016 10:00,67,24.19999,28.35336,36.34336,9.635007,10.79666,10.5,13.50657,,
5/28/2016 11:00,68,24.14666,28.37168,36.30336,10.07,10.70001,10.5,13.48139,,
5/28/2016 12:00,69,24.14666,28.32502,36.35334,10.67334,10.69667,10.5,13.47048,,
5/28/2016 13:00,70,24.12832,28.30335,36.37167,11.50834,10.6,10.5,13.47887,,
5/28/2016 14:00,71,23.99334,28.37501,36.32503,12.61833,10.6,10.5,13.46628,,
5/28/2016 15:00,72,23.92501,28.35002,36.30002,13.97167,10.6,10.5,13.43941,,
5/28/2016 16:00,73,23.87168,28.37501,36.30002,15.12334,10.60333,10.5,13.41843,,
5/28/2016 17:00,74,23.85335,28.39668,36.32503,15.54999,10.70001,10.5,13.40836,,
5/28/2016 18:00,75,23.82167,28.35334,36.29668,15.47167,10.75333,10.5,13.38905,,
5/28/2016 19:00,76,23.82502,28.37168,36.27502,15.29333,10.87834,10.5,13.21025,,
5/28/2016 20:00,77,23.77502,28.27832,36.27836,15.00833,10.97833,10.5,13.13218,,
5/28/2016 21:00,78,23.82502,28.35001,36.29668,14.48,11.05333,10.5,13.07258,,
5/28/2016 22:00,79,23.80001,28.34668,36.20332,13.77333,11.15334,10.5,13.02054,,
5/28/2016 23:00,80,23.76831,28.32835,36.30002,12.97667,11.22833,10.5,12.97353,,
5/29/2016 0:00,81,23.67833,28.32168,36.30002,12.32999,11.29999,10.5,12.93072,,
5/29/2016 1:00,82,23.69999,28.37502,36.24998,11.73,11.29999,10.5,12.89882,,
5/29/2016 2:00,83,23.64666,28.32501,36.275,11.23333,11.29999,10.5,12.86608,,
5/29/2016 3:00,84,23.70669,28.32502,36.24664,10.73667,11.29999,10.5,12.83922,,
5/29/2016 4:00,85,23.69665,28.3,36.27502,10.34,11.29999,10.5,12.81068,,
5/29/2016 5:00,86,23.69999,28.30001,36.30335,9.986666,11.29666,10.57833,12.78465,,
5/29/2016 6:00,87,23.72167,28.37835,36.30002,9.636669,11.20001,10.6,12.7687,,
5/29/2016 7:00,88,23.73168,28.32168,36.32167,9.289999,11.17166,10.6,12.79976,,
5/29/2016 8:00,89,23.72501,28.30332,36.27836,9.046667,11.1,10.6,13.09776,,
5/29/2016 9:00,90,23.77168,28.27166,36.32169,9.056669,11.02167,10.6,13.65851,,
5/29/2016 10:00,91,23.67834,28.30001,36.27836,9.334998,10.94667,10.6,13.52084,,
5/29/2016 11:00,92,23.69666,28.32835,36.2533,9.744997,10.89667,10.6,13.48642,,
5/29/2016 12:00,93,23.64666,28.32168,36.32169,10.37333,10.79999,10.6,13.46292,,
5/29/2016 13:00,94,23.62166,28.32502,36.29668,11.13001,10.72167,10.6,13.43186,,
5/29/2016 14:00,95,23.45001,28.30001,36.22834,12.24667,10.70001,10.6,13.41088,,
5/29/2016 15:00,96,23.36835,28.30001,36.30002,13.83167,10.70001,10.6,13.38317,,
5/29/2016 16:00,97,23.19666,28.27501,36.27169,15.28,10.70001,10.6,13.36806,,
