Time,Record,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Smp
5/28/2016 3:00,60,22.90001,29.45,34.40002,11.74334,11.94666,11.4,12.8325
5/28/2016 4:00,61,22.90001,29.50333,34.35003,11.51834,11.9,11.4,12.80396
5/28/2016 5:00,62,22.82502,29.47168,34.37169,11.23666,11.9,11.4,12.7729
5/28/2016 6:00,63,22.875,29.45001,34.35003,10.83666,11.9,11.4,12.76199
5/28/2016 7:00,64,22.89334,29.45,34.32835,10.54333,11.9,11.4,12.79892
5/28/2016 8:00,65,22.82835,29.47167,34.37502,10.29333,11.87166,11.4,13.21696
5/28/2016 9:00,66,22.80334,29.47833,34.34669,10.25666,11.79999,11.4,13.52504
5/28/2016 10:00,67,22.84666,29.47167,34.32835,10.56334,11.79999,11.4,13.44277
5/28/2016 11:00,68,22.80001,29.50666,34.40002,11.09833,11.72167,11.4,13.43186
5/28/2016 12:00,69,22.74665,29.49334,34.37502,11.855,11.70001,11.4,13.42599
5/28/2016 13:00,70,22.74998,29.49999,34.39668,12.86167,11.62166,11.4,13.4369
5/28/2016 14:00,71,22.59333,29.45334,34.37502,13.96166,11.6,11.4,13.41843
5/28/2016 15:00,72,22.6,29.47501,34.32168,15.05834,11.6,11.4,13.3773
5/28/2016 16:00,73,22.42168,29.47501,34.35669,15.92334,11.6,11.34666,13.35295
5/28/2016 17:00,74,22.44667,29.475,34.32169,16.56999,11.6,11.29999,13.33029
5/28/2016 18:00,75,22.30334,29.47501,34.32502,17.06,11.67834,11.29999,13.3135
5/28/2016 19:00,76,22.13666,29.45001,34.35003,17.13999,11.75333,11.29999,13.18591
5/28/2016 20:00,77,22.07833,29.44668,34.30002,16.67999,11.82834,11.29999,13.11203
5/28/2016 21:00,78,22.04666,29.45001,34.25,15.97334,11.92833,11.29999,13.03817
5/28/2016 22:00,79,22.13166,29.45,34.32501,15.17334,12.02833,11.29999,12.98444
5/28/2016 23:00,80,22.17499,29.45001,34.27502,14.37332,12.1,11.30333,12.93156
5/29/2016 0:00,81,22.07499,29.45334,34.24667,13.655,12.17834,11.375,12.89126
5/29/2016 1:00,82,22.11834,29.5,34.25333,13.02666,12.25333,11.4,12.85936
5/29/2016 2:00,83,22.05666,29.42502,34.25334,12.43333,12.29999,11.4,12.81907
5/29/2016 3:00,84,22.17832,29.44668,34.34667,11.90833,12.29999,11.4,12.79221
5/29/2016 4:00,85,22.27501,29.4,34.30002,11.43666,12.29999,11.4,12.77038
5/29/2016 5:00,86,22.34667,29.44667,34.24667,11.03667,12.29999,11.42833,12.74604
